Rank,District,Percent,date,link
113,58,17.65%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
114,22,17.53%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
115,62,17.33%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
116,68,17.19%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
117,24,17.14%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
118,78,17.11%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
119,45,16.98%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
120,6,16.41%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
121,32,14.44%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
122,99,13.28%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
123,19,12.00%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
124,64,11.24%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
125,9,7.81%,2021-10-02,https://reports2.toastmasters.org/PrezExt20.cgi
