Segment,District,Division,Area,Info,date,link
Area,98,E,2,"### Area E2The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* The paid club goal has been met.
* 1 more distinguished club(s).

To be Select Distinguished, the area needs:  

* The paid club goal has been met.
* 2 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 1 more paid club(s).
* 2 more distinguished club(s).

7877640-TA Digital Toastmasters Club has 4 DCP goals and has met the paid members qualifying requirement.  
1041988-Synopsys Hyderabad Toastmasters has only 12 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,E,3,"### Area E3The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* The paid club goal has been met.
* 2 more distinguished club(s).

To be Select Distinguished, the area needs:  

* The paid club goal has been met.
* 3 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 1 more paid club(s).
* 3 more distinguished club(s).

2669965-Infosys Toastmasters, Hyderabad Prakriti has 4 DCP goals but still needs 11 more paid members.  
6662202-TCS Maitree Adibatla Toastmasters Club has 7 DCP goals but still needs 19 more paid members.  
7308980-ANURAG Toastmasters has 5 DCP goals but still needs 2 more paid members.  
6662202-TCS Maitree Adibatla Toastmasters Club has only 1 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,E,4,"### Area E4The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* The paid club goal has been met.
* 1 more distinguished club(s).

To be Select Distinguished, the area needs:  

* The paid club goal has been met.
* 2 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 1 more paid club(s).
* 2 more distinguished club(s).

2221384-Invesco India Toastmasters Club has 4 DCP goals and has met the paid members qualifying requirement.  
7833894-Toastmasters For Hyderabad Entrepreneurs has 10 DCP goals but still needs 16 more paid members.  
7981787-SRIT Vibrant Speakers has 4 DCP goals and has met the paid members qualifying requirement.  
4800980-Stagecoach Hyderabad Toastmasters has only 12 members and needs a coach (none assigned).  
7833894-Toastmasters For Hyderabad Entrepreneurs has only 4 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Division,98,F,,"### Division FTo be Distinguished, the division needs:  

* 5 more paid club(s).
* 4 more distinguished club(s).

To be Select Distinguished, the division needs:  

* 5 more paid club(s).
* 5 more distinguished club(s).

To be President's Distinguished, the division needs:  

* 6 more paid club(s).
* 5 more distinguished club(s).

10 clubs have 5+ DCP goals earned so far.  
4 clubs have 5+ DCP goals earned and 20+ or +5 members so far.",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,F,1,"### Area F1The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* 2 more paid club(s).
* 2 more distinguished club(s).

To be Select Distinguished, the area needs:  

* 2 more paid club(s).
* 3 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 3 more paid club(s).
* 3 more distinguished club(s).

1530783-Madhapur Toastmasters has 9 DCP goals but still needs 1 more paid members.  
1431155-Broadridge Toastmasters Club has only 0 members and needs a coach (none assigned).  
4731654-JPMC Hyderabad Toastmasters has only 0 members and needs a coach (none assigned).  
7318924-Statestreet Hyd Toastmasters Club has only 0 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,F,2,"### Area F2The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* 2 more paid club(s).
* 1 more distinguished club(s).

To be Select Distinguished, the area needs:  

* 2 more paid club(s).
* 2 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 3 more paid club(s).
* 2 more distinguished club(s).

5030861-Roots Toastmasters has 9 DCP goals but still needs 20 more paid members.  
7913167-ZF Toastmasters has 4 DCP goals but still needs 1 more paid members.  
1340464-TCS Maitree Hyderabad Toastmasters Club has only 1 members and needs a coach (none assigned).  
5030861-Roots Toastmasters has only 0 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,F,3,"### Area F3The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* 1 more paid club(s).
* 1 more distinguished club(s).

To be Select Distinguished, the area needs:  

* 1 more paid club(s).
* 2 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 2 more paid club(s).
* 2 more distinguished club(s).

2254770-Toastmasters at Novartis Hyderabad has 5 DCP goals but still needs 5 more paid members.",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,F,4,"### Area F4The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* The paid club goal has been met.
* 2 more distinguished club(s).

To be Select Distinguished, the area needs:  

* The paid club goal has been met.
* 3 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 1 more paid club(s).
* 3 more distinguished club(s).

3492833-Waltair Toastmasters Club has 4 DCP goals and has met the paid members qualifying requirement.  
6943597-L&T Vizag Toastmasters Club has 5 DCP goals but still needs 12 more paid members.  
7825838-GITAM Toastmasters Club has 6 DCP goals but still needs 7 more paid members.  
7912450-Coastline Toastmasters Club has 7 DCP goals but still needs 4 more paid members.  
6943597-L&T Vizag Toastmasters Club has only 8 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Division,98,G,,"### Division GTo be Distinguished, the division needs:  

* 5 more paid club(s).
* 4 more distinguished club(s).

To be Select Distinguished, the division needs:  

* 5 more paid club(s).
* 5 more distinguished club(s).

To be President's Distinguished, the division needs:  

* 6 more paid club(s).
* 6 more distinguished club(s).

8 clubs have 5+ DCP goals earned so far.  
4 clubs have 5+ DCP goals earned and 20+ or +5 members so far.",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,G,1,"### Area G1The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* 2 more paid club(s).
* 2 more distinguished club(s).

To be Select Distinguished, the area needs:  

* 2 more paid club(s).
* 3 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 3 more paid club(s).
* 3 more distinguished club(s).

2097754-Oracle Hyderabad Toastmasters has 6 DCP goals but still needs 5 more paid members.  
7171974-HRDC Toastmasters has only 0 members and needs a coach (none assigned).  
7865258-Modak Toastmasters Club has only 1 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,G,2,"### Area G2The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* 2 more paid club(s).
* 2 more distinguished club(s).

To be Select Distinguished, the area needs:  

* 2 more paid club(s).
* 3 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 3 more paid club(s).
* 3 more distinguished club(s).

1095031-Indian School of Business Toastmasters has only 12 members and needs a coach (none assigned).  
4486936-Hitachi Vantara Toastmasters Club, Hyderabad has only 0 members and needs a coach (none assigned).  
7074267-AVEVA Toastmasters Club has only 0 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,G,3,"### Area G3The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* The paid club goal has been met.
* 2 more distinguished club(s).

To be Select Distinguished, the area needs:  

* The paid club goal has been met.
* 3 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 1 more paid club(s).
* 3 more distinguished club(s).

6945484-VJIM Toastmasters has 7 DCP goals but still needs 9 more paid members.  
7542047-BITS-H Toastmasters Club has 9 DCP goals but still needs 2 more paid members.  
6945484-VJIM Toastmasters has only 11 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,G,4,"### Area G4The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* 1 more paid club(s).
* 2 more distinguished club(s).

To be Select Distinguished, the area needs:  

* 1 more paid club(s).
* 3 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 2 more paid club(s).
* 3 more distinguished club(s).

702390-Infosys Hyderabad Toastmasters Club (IHTMC) has 4 DCP goals and has met the paid members qualifying requirement.  
7908104-Toastmasters For Cashflow Entrepreneurs has 10 DCP goals but still needs 5 more paid members.  
2247357-Virtusa Hyderabad Toastmasters Club has only 0 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Division,98,H,,"### Division HTo be Distinguished, the division needs:  

* 4 more paid club(s).
* 3 more distinguished club(s).

To be Select Distinguished, the division needs:  

* 4 more paid club(s).
* 4 more distinguished club(s).

To be President's Distinguished, the division needs:  

* 5 more paid club(s).
* 4 more distinguished club(s).

8 clubs have 5+ DCP goals earned so far.  
5 clubs have 5+ DCP goals earned and 20+ or +5 members so far.",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,H,1,"### Area H1The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* 1 more paid club(s).
* 1 more distinguished club(s).

To be Select Distinguished, the area needs:  

* 1 more paid club(s).
* 2 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 2 more paid club(s).
* 2 more distinguished club(s).

7454302-Dilsukhnagar Toastmasters has 8 DCP goals but still needs 1 more paid members.",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,H,2,"### Area H2The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* 2 more paid club(s).
* 1 more distinguished club(s).

To be Select Distinguished, the area needs:  

* 2 more paid club(s).
* 2 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 3 more paid club(s).
* 2 more distinguished club(s).

6886129-Alight Hyderabad Toastmasters Club has 4 DCP goals but still needs 20 more paid members.  
6886129-Alight Hyderabad Toastmasters Club has only 0 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,H,3,"### Area H3The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* The paid club goal has been met.
* 1 more distinguished club(s).

To be Select Distinguished, the area needs:  

* The paid club goal has been met.
* 2 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 1 more paid club(s).
* 2 more distinguished club(s).

4799292-CDK Hyderabad Toastmasters Club has 4 DCP goals and has met the paid members qualifying requirement.  
7895736-MitraTech Toastmasters Club has 4 DCP goals and has met the paid members qualifying requirement.",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,H,4,"### Area H4The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* 1 more paid club(s).
* 2 more distinguished club(s).

To be Select Distinguished, the area needs:  

* 1 more paid club(s).
* 3 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 2 more paid club(s).
* 3 more distinguished club(s).

6887490-Guntur Toastmasters Club has 10 DCP goals but still needs 1 more paid members.  
7326699-SVECW Speech Weavers Toastmasters has 5 DCP goals but still needs 5 more paid members.  
7913211-Vijayawada Toastmasters Club has 4 DCP goals but still needs 7 more paid members.  
7160802-PSCMR Toastmasters Club has only 0 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Division,98,J,,"### Division JTo be Distinguished, the division needs:  

* 1 more paid club(s).
* The distinguished club goal has been met.

To be Select Distinguished, the division needs:  

* 1 more paid club(s).
* The distinguished club goal has been met.

To be President's Distinguished, the division needs:  

* 2 more paid club(s).
* 1 more distinguished club(s).

10 clubs have 5+ DCP goals earned so far.  
6 clubs have 5+ DCP goals earned and 20+ or +5 members so far.",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,J,1,"### Area J1The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* 1 more paid club(s).
* The distinguished club goal has been met.

To be Select Distinguished, the area needs:  

* 1 more paid club(s).
* 1 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 2 more paid club(s).
* 1 more distinguished club(s).

7876919-Cadence Ahmedabad Fortune Toastmasters Club has 4 DCP goals and has met the paid members qualifying requirement.  
7709614-CorpOrate Toastmasters Club has only 0 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,J,2,"### Area J2The area meets the recognition program requirements for club visits.Congratulations, area is Distinguished.

To be Select Distinguished, the area needs:  



* The paid club goal has been met.
* 1 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 1 more paid club(s).
* 1 more distinguished club(s).

7244872-RIL JMD Speakers Toastmasters Club has 5 DCP goals but still needs 3 more paid members.  
7403659-Rajkot Toastmasters Club has 6 DCP goals but still needs 5 more paid members.  
7244872-RIL JMD Speakers Toastmasters Club has only 10 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,J,3,"### Area J3The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* The paid club goal has been met.
* 1 more distinguished club(s).

To be Select Distinguished, the area needs:  

* The paid club goal has been met.
* 2 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 1 more paid club(s).
* 2 more distinguished club(s).

6839027-TCS KALPAK TOASTMASTERS CLUB has 6 DCP goals but still needs 3 more paid members.  
7636059-Gandhinagar Toastmasters Club has 5 DCP goals but still needs 6 more paid members.  
6839027-TCS KALPAK TOASTMASTERS CLUB has only 11 members and needs a coach (none assigned).  
7877736-PIMA Toastmasters Club has only 0 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Division,98,M,,"### Division MCongratulations, division is Select Distinguished.To be President's Distinguished, the division needs:  



* 1 more paid club(s).
* The distinguished club goal has been met.

15 clubs have 5+ DCP goals earned so far.  
11 clubs have 5+ DCP goals earned and 20+ or +5 members so far.",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,M,1,"### Area M1The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* 1 more paid club(s).
* The distinguished club goal has been met.

To be Select Distinguished, the area needs:  

* 1 more paid club(s).
* 1 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 2 more paid club(s).
* 1 more distinguished club(s).

6881120-UBS Mumbai Toastmasters Club has 5 DCP goals but still needs 6 more paid members.  
7914844-ISB Modular Programmes Toastmasters Club has only 3 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,M,2,"### Area M2The area meets the recognition program requirements for club visits.Congratulations, area is Select Distinguished.

To be President's Distinguished, the area needs:  



* 1 more paid club(s).
* The distinguished club goal has been met.

7571457-GEP Toastmasters Club has 4 DCP goals and has met the paid members qualifying requirement.",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
