District,Division,Area,Club,Clubname,Clubest,Clubstatus,Clubaddr1,Clubaddr2,Clubcity,Clubstate,Clubzip,Clubcountry,Clubphone,Clubday_o,Clubtime_o,Clubday,Clubtime,Clublen,Clubfreq,Clubopen,Cluburl1,Cluburl2,Clubwebstat1,Clubwebstat2,Clubemail,Clubadvanced,date,source
98,B,01,1135184,Bombay Toastmasters,2008-02-01,Active,Parle Tilak Vidyalaya Association’s Institute of Management PTVA's Institute of Management|\ONLINE,"13, Apollo Devi CHS, Dixit Road",MUMBAI,MAH,400057,India,+91 77388 23063,2nd and 4th Saturdays,5.30 pm,Sat,17:30:00,0,M2,O,www.bombaytoastmasters.club/,www.facebook.com/bombaytoastmastersclub/,WordPress,Facebook,membership@b-t-m.club,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,B,01,4297290,NMIMS Mumbai Toastmasters Club (NMTC),2014-10-31,Active,NMIMS Campus Opposite Mithibai college,"VL Mehta Road, Vile Parle (W)",Mumbai,MAH,400056,India,+91 77104 71854,Sundays,11:00 AM - 01:00 PM,Sun,11:00:00,120,W1,E,nmimsmumbai.toastmastersclubs.org/,www.facebook.com/NMIMSMumbaiTM,FTH3,Facebook,toastmasters@nmims.edu.in,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,B,01,7770358,Leaders Connect Toastmasters Club,2020-03-31,Active,Morgan Stanley Advantage Services Pvt Ltd Athena Building,"No 5, Sec 30, Mindspace, Goregaon",Mumbai,MAH,400090,India,+91 95940 46594,Wednesdays,12:00 - 1:15 PM,Wed,12:00:00,75,W1,E,,,None,None,joydeep.bhowmick@morganstanley.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,B,01,7851177,Maven,2021-01-26,Active,Online,,Mumbai,MAH,401107,India,+91 98117 86394,Saturdays,2:00 PM,Sat,14:00:00,0,W1,O,,,None,None,Meetu29@gmail.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,B,01,7877720,Mumbai Orators Toastmasters Club,2021-03-27,Active,Santacruz East,,Mumbai,MAH,401203,India,+91-8857031641,2nd & 4th Saturday,5pm,Sat,17:00:00,0,M2,O,,,None,None,priya.parkar28@gmail.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,B,02,2854357,Eminent Toastmasters Club,2012-11-08,Active,"Raiaskaran Tech Park, Saki Naka BA Continuum India Pvt Ltd","Raiaskaran Tech Park, Tower I",Mumbai,MAH,400 072,India,+91 99675 08386,Thursday,1100 Hours,Thu,11:00:00,0,W1,E,,,None,None,nazirsumra@gmail.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,B,02,5235362,DB Mumbai Toastmasters Club,2016-04-26,Active,"B1/B4/B7, 1st,2nd or 5th Floor",Nirlon Knowledge Park,Mumbai,MAH,400063,India,+91 98197 49464,Alternate Fridays,5:30 - 6:30 p.m.,Fri,17:30:00,60,W2,E,,,None,None,khanjan.lodhavia@gmail.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,B,02,7770363,Articulators,2020-04-27,Active,"Morgan Stanley Advantage Services Pvt Ltd 20th Floor, WeWork, Oberoi Commerzll","Oberoi Garden City, Goregaon East",Mumbai,MAH,400063,India,+91 95949 09362,Fridays,12:00 - 1:30 PM,Fri,12:00:00,90,W1,E,,,None,None,Nikita.Naik@morganstanley.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,B,02,7828863,Toastmasters United,2020-11-19,Active,Online  Meeting,"A2403, Lodha Estrella, Tower No 7,",Mumbai,MAH,400037,India,+91 98214 70299,Sundays,7:00 - 9:30 PM IST,Sun,19:00:00,150,W1,P,,,None,None,nishant1211@gmail.com,Yes,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,B,03,1447379,Mahindra Toastmasters Club,2010-03-24,Active,"Mahindra & Mahindra Ltd, Kandivali East  Western express way","Akurli Road, Kandivali East",Mumbai,MAH,400101,India,+91 84548 88755,2nd & 4th Thursday of the month,6.30 pm - 8.30 pm,Thu,18:30:00,120,M2,O,,,None,None,samel.prasanna@mahindra.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,B,03,2543055,Tech Talkers,2012-06-22,Active,"Morgan Stanley Advantage Services PVT, LTD Membership to this club is limited to firm employees ONLY","Blk B4/5, Nirlon Knowledge Park,",Mumbai,MAH,400063,India,,Wednesday,12:00 pm - 1:15 pm,Wed,12:00:00,75,W1,E,,,None,None,msas-toastmasters-officers-nkp@morganstanley.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,B,03,4002291,Oracle Mumbai,2014-06-30,Active,"Oracle Financial Services Software Ltd, Bldg Oracle Park,  Nirlon Compund, Off Western Express Highway,",Oracle Park Off Western Express Hwy,Mumbai,MAH,400063,India,+91 99309 43464,Saturday,3.00 PM - 4.30 PM,Sat,15:00:00,90,W1,E,ofss.toastmastersclubs.org/,,FTH3,None,unmesh.raool@gmail.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,B,03,6786470,Chatterati Toastmasters Club,2018-01-01,Active,Samata Vidya Mandir School,Near Samata Nagar Bus Depot,Mumbai,MAH,400101,India,+91 98201 85976,Sunday,2:30 pm to 4:30 pm,Sun,14:30:00,120,W1,O,www.chatteratitm.com/,www.facebook.com/chatteratitoastmastersclub,Invalid--SSL,Facebook,chatteratitoastmasters@gmail.com,Yes,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,B,03,7906218,Toastmasters For Entrepreneurs,2021-06-17,Active,"Sector 7, HSR Layout","No 487, Ground Fl, 12A Main Rd",Bangalore,KRN,560102,India,+91 9373462797,Saturdays,7:00 - 8:30 P (IST),Sat,19:00:00,90,W1,O,,,None,None,svk1851@gmail.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,B,04,4764536,JPMC Malad Toastmasters,2015-06-19,Active,JPMC Office This club is open to employees of JPMC only,"Fl 11, A Wing, Prism Twr, Mindspace",Mumbai,MAH,400104,India,+91 89288 70926,Friday,11 30 AM- 1 PM IST,Fri,11:30:00,90,W1,E,,,None,None,Ark.almeida@gmail.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,B,04,7726190,Goregaon Speakers Community Toastmasters-(GSC Toastmasters),2020-01-17,Active,"Goregaon Sports Club New Link Rd, near Toyota Showroom","Mindspace, Malad West",Mumbai,MAH,400064,India,+91 96192 59514,Sundays,3:00 PM - 5:00 PM,Sun,15:00:00,120,W1,O,gsctm.toastmastersclubs.org/,www.facebook.com/GSCToastmasters,FTH3,Facebook,sachinbiyani@gmail.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,B,04,7840662,Mumbai Speakers Toastmasters Club,2021-01-01,Active,"Borivali West, MUMBAI 400103","11 Fl,A Wing,Prism Tower, Mindspace",Mumbai,MAH,400064,India,+91 81698 88041,Sunday,11.00 am,Sun,11:00:00,0,W1,O,,,None,None,deepathisbest.ds@gmail.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,B,04,7873524,Fractal Toastmasters Club,2021-03-31,Active,"Fractal Analytics, Level 7 Commerz II Internaitonal Business Park, Oberoi Garden City","Western Express Hwy, Goregaon (E)",Mumbai,MAH,400063,India,9075001411,Thursdays,6:30 PM IST,Thu,18:30:00,0,W1,E,,,None,None,vedantsharmagurgaon@gmail.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,B,06,5868536,Piramal Realty Toastmasters Club,2017-06-13,Ineligible,"West Lounge, 8th Floor, Piramal Tower Piramal Realty Office",Peninsula Corporate Park,Mumbai,MAH,400013,India,+91 22 3351 4040,2nd & 4th Thursday,10.00 AM - 12:00 PM,Thu,10:00:00,120,M2,E,,,None,None,rochelle.dsouza@piramal.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,C,01,2645684,Emerson Innovation Center-Pune Toastmasters Club,2012-11-01,Active,Emerson Innovation Centre- VC Rooms Online-Teams,"Plot#23, Rajiv Gandhi IT Park,",Pune,MAH,411057,India,+91 96502 13909,Wednesday,9:30 am - 11:00 am,Wed,09:30:00,90,W1,E,eicp.toastmastersclubs.org/,www.facebook.com/groups/936314339742353/?ref=bookmarks,FTH3,Facebook,bharat.chaturvedi@emerson.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,C,01,4167410,TCS Maitree Toastmasters Club Pune,2014-09-04,Active,"Sahyadri Park, TCS","Rajiv Gandhi Info-tech Park, Phase 3, Hinjewadi",Pune,MAH,411-057,India,+91 78457 56865,Friday,10:30 AM to 12:00PM IST,Fri,10:30:00,90,W1,E,,www.facebook.com/groups/tcspunetoastmasters,None,Facebook,ankur.bhargava04@gmail.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,C,01,6097544,Toastmasters for Pune Entrepreneurs,2017-03-01,Active,LHC 203,Lecture Hall Complex,Pune,MAH,411008,India,+91 99602 66888,Wednesday,7:00 PM,Wed,19:00:00,0,W1,O,tfpe.toastmastersclubs.org/,www.facebook.com/tfpe.club,FTH3,Facebook,tfpe.club@gmail.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,C,01,6632506,Excelsior Toastmasters Club,2017-08-21,Ineligible,Fulcrum Worldwide Office Campus,"Plot 23/4, Rajiv Gandhi Infotech Pk",Pune,MAH,411057,India,+919822761596,1st & 3rd Friday,2:30 PM,Fri,14:30:00,0,M2,E,,,None,None,mukesh.shitole@cfins.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,C,01,6885496,Fulcrum Toastmasters Club,2018-03-12,Ineligible,Fulcrum Worldwide office campus,23/4 Rajiv Gandhi Infotech Pk,Pune,MAH,411057,India,+91 88791 11343,Wednesday,2:30 - 3:30 PM,Wed,14:30:00,60,W1,E,,,None,None,suvarna@fulcrumww.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,C,01,7764009,Capgemini  Ikigai Toastmasters Club,2020-04-01,Active,"Capgemini Technology Services India Ltd Plot 14, Rajiv Gandhi Infotech Park",Hinjewadi Phase 3,Pune,MAH,411057,India,+91 73507 97575,Friday | Online,9:00 AM - 10:30 AM (IST),Fri,09:00:00,90,W1,E,,,None,None,Sujata.kolekar@gmail.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,C,02,776544,Genesis Toastmasters Club,2005-03-31,Active,"IICMR @ City Pride School Pradhikaran, Nigdi,Pune",Nigdi,Pune,MAH,411019,India,+91 87930 89014,Sunday,3:00 - 5:15 pm IST,Sun,15:00:00,135,W1,O,776544.toastmastersclubs.org/#null,www.facebook.com/GenesisToastmastersPune,FTH3,Facebook,clubgenesistoastmasters@gmail.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,C,02,4421153,Toastmasters Club of Pune North West,2015-01-01,Active,Online Meeting,Pimple GUrav,Pune,MAH,12345,India,+91 87633 62662,Sunday,11:00 AM - 1:15 PM,Sun,11:00:00,135,W1,O,tmcpnw.easy-speak.org/,www.facebook.com/groups/tmcp.north.west,Invalid--SSL,Facebook,negiabhisek@gmail.com,Yes,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,C,02,5297378,Barclays Pune 2 Toastmasters,2016-03-04,Active,"BTCI - Barclays, Floor 3-6","Block 4, Quadron IT Park, Plot No 28",Pune,MAH,411057,India,+91 99443 01825,Saturday,11:00 - 12:30,Sat,11:00:00,90,W1,E,,,None,None,madhusamhitha.v@barclays.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,C,02,5869992,EMR One Pune,2017-02-28,Ineligible,Pune Office,"5th Floor, Plot No 2, Rajiv Gandhi",Pune,MAH,411057,India,+91 95455 09390,1st & 3rd Friday,9:30 AM,Fri,09:30:00,0,M2,E,,,None,None,poorva.chandrashekhar@emerson.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,C,02,6786792,WIPRO Rendezvous Toastmasters Club of Pune,2018-01-01,Active,"Wipro Limited Hinjewadi , Phase 2",Rajiv Gandhi Infotech Park,Pune,MAH,411057,India,+91 95031 42904,Sunday,1130 am to 130 pm,Sun,11:30:00,120,W1,E,,,None,None,samit.das1@wipro.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,C,03,5424150,FLEX Pune,2016-05-11,Ineligible,"Flextronics GBS - Pune 7th Floor, Block Rhine (1.5), Classroom",Embassy Tech Plot PL03,Pune,MAH,411057,India,+919130009565 & +912066589490,2nd & 4th Friday,3:00 - 5:00 p.m.,Fri,15:00:00,120,M2,E,,,None,None,jagan.krishnamoorthy@flextronics.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,C,03,6933610,Birlasoft Toastmasters Club Pune,2018-04-25,Active,"BSL Hinjewadi Pune Office Dhaulagiri, SDB1, Level 3, B wing",Birlasoft Rajiv Gandhi Infotech Prk,Pune,MAH,411057,India,+91 97645 18110,Saturday,1:00 - 2:30 PM,Sat,13:00:00,90,W1,E,,,None,None,vivcha1@gmail.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,C,03,7030730,Wakad Toastmasters Club,2018-06-26,Active,Kamal Pratishthan Mount Litera Zee Schoo,Kamal Pratishthan Mount Litera Zee,Pune,MAH,411057,India,+91 88057 50738,Saturday,5:00 - 7:15 PM,Sat,17:00:00,135,W1,O,,www.facebook.com/WakadTMC,None,Facebook,nishu030372@gmail.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,C,03,7239392,Aundh Toastmasters Club,2019-02-10,Active,Vidyanchal School,"Balaji Park, Sanewadi, Aundh",Pune,MAH,411007,India,+91 88888 43745,Sundays,3 PM - 5PM,Sun,15:00:00,120,W1,O,,facebook.com/aundhtmc,None,Facebook,shailesh0g@gmail.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,C,03,7431038,STS Pune Toastmasters Club,2019-05-13,Active,"Siemens Technology & Services,","Conference Room, 2nd Floor,",Pune,MAH,411045,India,+91 98238 48647,Tuesdays,18:00 - 19:30,Tue,18:00:00,90,W1,E,,,None,None,chintan.killedar@gmail.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,C,04,916446,Infosys Pune Toastmasters Club,2006-06-02,Active,Infosys Technologies Ltd,"Plot No 24, Rajiv Gandhi Infotech park, Hinjewadi Phase II",Pune,MAH,411 057,India,+91 99204 74926,Wednesday,5:30 PM,Wed,17:30:00,0,W1,E,,,None,None,debaratiprasad18@gmail.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,C,04,2682603,SIBM Pune Toastmasters Club,2012-10-01,Ineligible,"SIBM Pune Lavale, Tal : Mulshi",Symbiosis Knowledge Village,Pune,MAH,411042,India,+91-9552683566,Thursday,5:30 pm,Thu,17:30:00,0,W1,E,2682603.toastmastersclubs.org,www.facebook.com/SIBMPuneToastmastersClub,FTH2,Facebook,goolam.ali17@associates.sibm.edu,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,C,04,5965350,Pimpri Toastmasters Club,2017-01-01,Active,Pratibha Group of Institutes (MBA Building),"Pratibha Group of Institutes - Near Little Italy, Chinchwad, Pimpri-Chinchwad, M",Pune,MAH,411019,India,+91 84120 53604,Saturdays,5:00 PM,Sat,17:00:00,0,W1,O,,www.facebook.com/PimpriTMC,None,Facebook,pimpritoastmastersclub@gmail.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,C,04,7632324,Eaton Toastmasters Collaboration Club,2019-11-01,Active,Eaton Technologies Pvt Ltd Conference Room,"Om Chambers MIDC Bhosari, Pimpri",Pune,MAH,411026,India,+91 99671 06740,Friday,3:00 - 4:00 PM,Fri,15:00:00,60,W1,E,,,None,None,,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,C,04,7926456,ASM Toastmasters Club,2021-08-25,Active,Online or College,,Pune,MAH,411019,India,+91 9503977755,Saturday,5:00 PM,Sat,17:00:00,0,W1,E,,,None,None,akshaypatkar.760@gmail.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,C,05,5506714,Baner Toastmasters Club,2016-05-19,Active,"DIMR, SKP Campus, Balewadi Pune","DIMR, SKP Campus, Balewadi",Pune,MAH,411045,India,+91 79054 55741,Saturday,4:00 - 6:15 p.m.,Sat,16:00:00,135,W1,O,baner.toastmastersclubs.org/,www.facebook.com/BanerTMC,FTH3,Facebook,toastmasters.baner@gmail.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,C,05,6601517,ATLAS COPCO PUNE TOASTMASTERS CLUB,2017-08-03,Active,Atlas Copco India Ltd,"Sveanagar, Dapodi",Pune,MAH,411012,India,+91 97653 93865,Tuesday,0730-845hrs,Tue,07:30:00,75,W1,O,,,None,None,chandrakant.bande@in.atlascopco.com,Yes,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
98,C,05,7683449,Toastmasters of Mediaocean,2020-01-19,Active,MediaOcean Asia Pvt Ltd  Cummins India campus,"Tower B, Fl 3, Balewadi High St",Pune,MAH,411018,India,+91 95957 60287,Wednesdays,4:00 PM - 5:30 PM,Wed,16:00:00,90,W1,E,,,None,None,mpawar@mediaocean.com,,2021-09-23,https://www.marshalls.org/tmtools/getclubs.cgi?dist=98&Go=getclubs
