Region,District,Division,Area,Club ID,Club Name,Club Status,Club Join Date,Original Join Date,Membership Begin,Membership End,Member ID,Paid Status,date,link
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,4/1/2018,4/1/2018,4/1/2021,9/30/2021,6944712,PAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,6/1/2018,6/1/2018,10/1/2020,3/31/2021,7011332,UNPAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,10/1/2018,10/1/2018,4/1/2021,9/30/2021,7162200,PAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,1/1/2020,1/1/2020,10/1/2020,3/31/2021,7722131,UNPAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,1/1/2020,1/1/2020,4/1/2021,9/30/2021,7732398,PAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,1/1/2021,4/1/2019,4/1/2021,9/30/2021,7405000,PAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,9/1/2020,9/1/2020,10/1/2020,3/31/2021,7811516,UNPAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,12/1/2020,12/1/2020,4/1/2021,9/30/2021,7839695,PAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,5/1/2013,5/1/2013,4/1/2021,9/30/2021,3192415,PAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,1/1/2021,11/1/2014,4/1/2021,9/30/2021,4348675,PAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,8/1/2017,8/1/2017,10/1/2020,3/31/2021,6635464,UNPAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,12/1/2017,12/1/2017,4/1/2021,9/30/2021,6775491,PAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,5/1/2019,5/1/2019,4/1/2021,9/30/2021,7434445,PAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,6/1/2019,6/1/2019,10/1/2020,3/31/2021,7469840,UNPAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,11/1/2019,1/1/2019,10/1/2020,3/31/2021,7269437,UNPAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,12/1/2019,12/1/2019,4/1/2021,9/30/2021,7708618,PAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,9/1/2020,9/1/2020,4/1/2021,9/30/2021,7807125,PAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,5/1/2021,5/1/2021,5/1/2021,9/30/2021,7890412,PAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,2/1/2021,2/1/2021,4/1/2021,9/30/2021,7864144,PAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,9/1/2020,9/1/2020,10/1/2020,3/31/2021,7811485,UNPAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,8/1/2015,8/1/2015,4/1/2021,9/30/2021,4804287,PAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,10/1/2018,8/1/2016,4/1/2021,9/30/2021,5664821,PAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,6/1/2020,8/1/2016,4/1/2021,9/30/2021,5664864,PAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,8/1/2020,8/1/2020,10/1/2020,3/31/2021,7801323,UNPAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,8/1/2020,8/1/2020,4/1/2021,9/30/2021,7804670,PAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,11/1/2020,11/1/2020,4/1/2021,9/30/2021,7836826,PAID,2021-05-06,District Email
13,98,A,1,2472534,Amdavad Toastmasters Club,Active,3/1/2021,3/1/2021,4/1/2021,9/30/2021,7870294,PAID,2021-05-06,District Email
13,98,A,1,7876919,Cadence Ahmedabad Fortune Toastmasters Club,Active,3/1/2021,3/1/2021,3/1/2021,9/30/2021,7880371,PAID,2021-05-06,District Email
13,98,A,1,7876919,Cadence Ahmedabad Fortune Toastmasters Club,Active,3/1/2021,3/1/2021,3/1/2021,9/30/2021,7880379,PAID,2021-05-06,District Email
13,98,A,1,7876919,Cadence Ahmedabad Fortune Toastmasters Club,Active,3/1/2021,3/1/2021,3/1/2021,9/30/2021,7880407,PAID,2021-05-06,District Email
13,98,A,1,7876919,Cadence Ahmedabad Fortune Toastmasters Club,Active,3/1/2021,3/1/2021,3/1/2021,9/30/2021,7880376,PAID,2021-05-06,District Email
13,98,A,1,7876919,Cadence Ahmedabad Fortune Toastmasters Club,Active,3/1/2021,3/1/2021,3/1/2021,9/30/2021,7880383,PAID,2021-05-06,District Email
13,98,A,1,7876919,Cadence Ahmedabad Fortune Toastmasters Club,Active,3/1/2021,3/1/2021,3/1/2021,9/30/2021,7880388,PAID,2021-05-06,District Email
13,98,A,1,7876919,Cadence Ahmedabad Fortune Toastmasters Club,Active,3/1/2021,3/1/2021,3/1/2021,9/30/2021,7880403,PAID,2021-05-06,District Email
13,98,A,1,7876919,Cadence Ahmedabad Fortune Toastmasters Club,Active,3/1/2021,3/1/2021,3/1/2021,9/30/2021,7876895,PAID,2021-05-06,District Email
13,98,A,1,7876919,Cadence Ahmedabad Fortune Toastmasters Club,Active,3/1/2021,3/1/2021,3/1/2021,9/30/2021,7880393,PAID,2021-05-06,District Email
13,98,A,1,7876919,Cadence Ahmedabad Fortune Toastmasters Club,Active,3/1/2021,3/1/2021,3/1/2021,9/30/2021,7880348,PAID,2021-05-06,District Email
13,98,A,1,7876919,Cadence Ahmedabad Fortune Toastmasters Club,Active,3/1/2021,3/1/2021,3/1/2021,9/30/2021,7880356,PAID,2021-05-06,District Email
13,98,A,1,7876919,Cadence Ahmedabad Fortune Toastmasters Club,Active,3/1/2021,3/1/2021,3/1/2021,9/30/2021,7880350,PAID,2021-05-06,District Email
13,98,A,1,7876919,Cadence Ahmedabad Fortune Toastmasters Club,Active,3/1/2021,3/1/2021,3/1/2021,9/30/2021,7880358,PAID,2021-05-06,District Email
13,98,A,1,7876919,Cadence Ahmedabad Fortune Toastmasters Club,Active,3/1/2021,3/1/2021,3/1/2021,9/30/2021,7880401,PAID,2021-05-06,District Email
13,98,A,1,7876919,Cadence Ahmedabad Fortune Toastmasters Club,Active,3/1/2021,3/1/2021,3/1/2021,9/30/2021,7880352,PAID,2021-05-06,District Email
13,98,A,1,7876919,Cadence Ahmedabad Fortune Toastmasters Club,Active,3/1/2021,3/1/2021,3/1/2021,9/30/2021,7880372,PAID,2021-05-06,District Email
13,98,A,1,7876919,Cadence Ahmedabad Fortune Toastmasters Club,Active,3/1/2021,3/1/2021,3/1/2021,9/30/2021,7880398,PAID,2021-05-06,District Email
13,98,A,1,7876919,Cadence Ahmedabad Fortune Toastmasters Club,Active,3/1/2021,3/1/2021,3/1/2021,9/30/2021,7880365,PAID,2021-05-06,District Email
13,98,A,1,7876919,Cadence Ahmedabad Fortune Toastmasters Club,Active,3/1/2021,3/1/2021,3/1/2021,9/30/2021,7880390,PAID,2021-05-06,District Email
13,98,A,1,7876919,Cadence Ahmedabad Fortune Toastmasters Club,Active,3/1/2021,3/1/2021,3/1/2021,9/30/2021,7880411,PAID,2021-05-06,District Email
13,98,A,1,7709614,CorpOrate Toastmasters Club,Active,12/1/2019,12/1/2019,4/1/2021,9/30/2021,7711995,PAID,2021-05-06,District Email
13,98,A,1,7709614,CorpOrate Toastmasters Club,Active,10/1/2020,10/1/2020,10/1/2020,3/31/2021,7815686,UNPAID,2021-05-06,District Email
13,98,A,1,7709614,CorpOrate Toastmasters Club,Active,12/1/2019,12/1/2019,4/1/2021,9/30/2021,7712032,PAID,2021-05-06,District Email
13,98,A,1,7709614,CorpOrate Toastmasters Club,Active,12/1/2019,12/1/2019,4/1/2021,9/30/2021,7712017,PAID,2021-05-06,District Email
13,98,A,1,7709614,CorpOrate Toastmasters Club,Active,12/1/2019,12/1/2019,4/1/2021,9/30/2021,7712012,PAID,2021-05-06,District Email
13,98,A,1,7709614,CorpOrate Toastmasters Club,Active,10/1/2020,12/1/2019,10/1/2020,3/31/2021,7712002,UNPAID,2021-05-06,District Email
13,98,A,1,7709614,CorpOrate Toastmasters Club,Active,10/1/2020,12/1/2019,4/1/2021,9/30/2021,7712015,PAID,2021-05-06,District Email
13,98,A,1,7709614,CorpOrate Toastmasters Club,Active,12/1/2019,12/1/2019,4/1/2021,9/30/2021,7712035,PAID,2021-05-06,District Email
13,98,A,1,7709614,CorpOrate Toastmasters Club,Active,12/1/2019,12/1/2019,10/1/2020,3/31/2021,7712004,UNPAID,2021-05-06,District Email
13,98,A,1,7709614,CorpOrate Toastmasters Club,Active,2/1/2020,2/1/2020,4/1/2021,9/30/2021,7741653,PAID,2021-05-06,District Email
13,98,A,1,7709614,CorpOrate Toastmasters Club,Active,12/1/2019,12/1/2019,4/1/2021,9/30/2021,7712019,PAID,2021-05-06,District Email
13,98,A,1,7709614,CorpOrate Toastmasters Club,Active,12/1/2019,12/1/2019,4/1/2021,9/30/2021,7712047,PAID,2021-05-06,District Email
13,98,A,1,7709614,CorpOrate Toastmasters Club,Active,10/1/2020,10/1/2020,10/1/2020,3/31/2021,7816767,UNPAID,2021-05-06,District Email
13,98,A,1,7709614,CorpOrate Toastmasters Club,Active,12/1/2019,12/1/2019,10/1/2020,3/31/2021,7711998,UNPAID,2021-05-06,District Email
13,98,A,1,7709614,CorpOrate Toastmasters Club,Active,12/1/2019,12/1/2019,10/1/2020,3/31/2021,7712026,UNPAID,2021-05-06,District Email
13,98,A,1,7709614,CorpOrate Toastmasters Club,Active,12/1/2019,12/1/2019,4/1/2021,9/30/2021,7712045,PAID,2021-05-06,District Email
13,98,A,1,7709614,CorpOrate Toastmasters Club,Active,3/1/2021,2/1/2017,4/1/2021,9/30/2021,6016428,PAID,2021-05-06,District Email
13,98,A,1,7709614,CorpOrate Toastmasters Club,Active,12/1/2019,12/1/2019,4/1/2021,9/30/2021,7709606,PAID,2021-05-06,District Email
13,98,A,1,7709614,CorpOrate Toastmasters Club,Active,10/1/2020,10/1/2020,10/1/2020,3/31/2021,7815688,UNPAID,2021-05-06,District Email
13,98,A,1,7709614,CorpOrate Toastmasters Club,Active,2/1/2020,2/1/2020,10/1/2020,3/31/2021,7744305,UNPAID,2021-05-06,District Email
13,98,A,1,7709614,CorpOrate Toastmasters Club,Active,4/1/2020,4/1/2020,10/1/2020,3/31/2021,7764852,UNPAID,2021-05-06,District Email
13,98,A,1,6931486,Heritage City Toastmasters Club,Active,7/1/2018,5/1/2014,4/1/2021,9/30/2021,3955436,PAID,2021-05-06,District Email
13,98,A,1,6931486,Heritage City Toastmasters Club,Active,6/1/2018,6/1/2010,4/1/2021,9/30/2021,1499308,PAID,2021-05-06,District Email
13,98,A,1,6931486,Heritage City Toastmasters Club,Active,3/1/2021,8/1/2018,3/1/2021,3/31/2021,7064061,UNPAID,2021-05-06,District Email
13,98,A,1,6931486,Heritage City Toastmasters Club,Active,10/1/2018,10/1/2018,4/1/2021,9/30/2021,7179306,PAID,2021-05-06,District Email
13,98,A,1,6931486,Heritage City Toastmasters Club,Active,4/1/2019,4/1/2019,10/1/2020,3/31/2021,7371174,UNPAID,2021-05-06,District Email
13,98,A,1,6931486,Heritage City Toastmasters Club,Active,10/1/2020,11/1/2019,10/1/2020,3/31/2021,7651164,UNPAID,2021-05-06,District Email
13,98,A,1,6931486,Heritage City Toastmasters Club,Active,12/1/2020,10/1/2019,4/1/2021,9/30/2021,7641448,PAID,2021-05-06,District Email
13,98,A,1,6931486,Heritage City Toastmasters Club,Active,6/1/2020,6/1/2020,4/1/2021,9/30/2021,7781923,PAID,2021-05-06,District Email
13,98,A,1,6931486,Heritage City Toastmasters Club,Active,11/1/2019,11/1/2019,4/1/2021,9/30/2021,7651161,PAID,2021-05-06,District Email
13,98,A,1,6931486,Heritage City Toastmasters Club,Active,3/1/2021,3/1/2021,4/1/2021,9/30/2021,7870735,PAID,2021-05-06,District Email
13,98,A,1,6931486,Heritage City Toastmasters Club,Active,2/1/2021,2/1/2021,4/1/2021,9/30/2021,7854670,PAID,2021-05-06,District Email
13,98,A,1,6931486,Heritage City Toastmasters Club,Active,4/1/2020,4/1/2002,4/1/2021,9/30/2021,449344,PAID,2021-05-06,District Email
13,98,A,1,6931486,Heritage City Toastmasters Club,Active,6/1/2018,6/1/2013,4/1/2021,9/30/2021,3197546,PAID,2021-05-06,District Email
13,98,A,1,6931486,Heritage City Toastmasters Club,Active,4/1/2019,10/1/2012,10/1/2020,3/31/2021,2791025,UNPAID,2021-05-06,District Email
13,98,A,1,6931486,Heritage City Toastmasters Club,Active,10/1/2019,10/1/2019,4/1/2021,9/30/2021,7655869,PAID,2021-05-06,District Email
13,98,A,1,6931486,Heritage City Toastmasters Club,Active,10/1/2020,7/1/2019,4/1/2021,9/30/2021,7495839,PAID,2021-05-06,District Email
13,98,A,1,6931486,Heritage City Toastmasters Club,Active,6/1/2018,8/1/2015,4/1/2021,9/30/2021,4896140,PAID,2021-05-06,District Email
13,98,A,1,6931486,Heritage City Toastmasters Club,Active,2/1/2021,11/1/2016,2/1/2021,3/31/2021,5905505,UNPAID,2021-05-06,District Email
13,98,A,1,6931486,Heritage City Toastmasters Club,Active,1/1/2021,3/1/2019,1/1/2021,3/31/2021,7288388,UNPAID,2021-05-06,District Email
13,98,A,1,6931486,Heritage City Toastmasters Club,Active,4/1/2021,4/1/2021,4/1/2021,9/30/2021,7888758,PAID,2021-05-06,District Email
13,98,A,1,6931486,Heritage City Toastmasters Club,Active,6/1/2018,2/1/2016,4/1/2021,9/30/2021,5239729,PAID,2021-05-06,District Email
13,98,A,1,6931486,Heritage City Toastmasters Club,Active,4/1/2021,4/1/2021,4/1/2021,9/30/2021,7885213,PAID,2021-05-06,District Email
13,98,A,1,6931486,Heritage City Toastmasters Club,Active,12/1/2020,12/1/2016,4/1/2021,9/30/2021,5949106,PAID,2021-05-06,District Email
13,98,A,1,6931486,Heritage City Toastmasters Club,Active,7/1/2019,7/1/2019,4/1/2021,9/30/2021,7514167,PAID,2021-05-06,District Email
13,98,A,1,6931486,Heritage City Toastmasters Club,Active,1/1/2021,8/1/2019,1/1/2021,3/31/2021,7536028,UNPAID,2021-05-06,District Email
13,98,A,1,6931486,Heritage City Toastmasters Club,Active,9/1/2020,9/1/2020,10/1/2020,3/31/2021,7802505,UNPAID,2021-05-06,District Email
13,98,A,1,6931486,Heritage City Toastmasters Club,Active,3/1/2021,3/1/2021,4/1/2021,9/30/2021,7870733,PAID,2021-05-06,District Email
13,98,A,1,6931486,Heritage City Toastmasters Club,Active,1/1/2021,8/1/2019,1/1/2021,3/31/2021,7534831,UNPAID,2021-05-06,District Email
13,98,A,1,6931486,Heritage City Toastmasters Club,Active,9/1/2018,7/1/2017,4/1/2021,9/30/2021,6609892,PAID,2021-05-06,District Email
13,98,A,1,6931486,Heritage City Toastmasters Club,Active,5/1/2019,1/1/2019,4/1/2021,9/30/2021,7246694,PAID,2021-05-06,District Email
13,98,A,1,6931486,Heritage City Toastmasters Club,Active,9/1/2019,9/1/2019,10/1/2020,3/31/2021,7561158,UNPAID,2021-05-06,District Email
13,98,A,1,6931486,Heritage City Toastmasters Club,Active,10/1/2019,10/1/2019,4/1/2021,9/30/2021,7580366,PAID,2021-05-06,District Email
13,98,A,1,6931486,Heritage City Toastmasters Club,Active,5/1/2019,5/1/2019,10/1/2020,3/31/2021,7407906,UNPAID,2021-05-06,District Email
13,98,A,1,6931486,Heritage City Toastmasters Club,Active,2/1/2021,2/1/2021,4/1/2021,9/30/2021,7857509,PAID,2021-05-06,District Email
13,98,A,1,6931486,Heritage City Toastmasters Club,Active,1/1/2021,1/1/2021,4/1/2021,9/30/2021,7845710,PAID,2021-05-06,District Email
13,98,A,1,6931486,Heritage City Toastmasters Club,Active,1/1/2021,1/1/2021,4/1/2021,9/30/2021,7846864,PAID,2021-05-06,District Email
13,98,A,2,7854559,Investis Digital India,Active,1/1/2021,1/1/2021,1/1/2021,9/30/2021,7857205,PAID,2021-05-06,District Email
13,98,A,2,7854559,Investis Digital India,Active,1/1/2021,1/1/2021,1/1/2021,9/30/2021,7857235,PAID,2021-05-06,District Email
13,98,A,2,7854559,Investis Digital India,Active,1/1/2021,1/1/2021,1/1/2021,9/30/2021,7857274,PAID,2021-05-06,District Email
13,98,A,2,7854559,Investis Digital India,Active,1/1/2021,1/1/2021,1/1/2021,9/30/2021,7857252,PAID,2021-05-06,District Email
13,98,A,2,7854559,Investis Digital India,Active,1/1/2021,1/1/2021,1/1/2021,9/30/2021,7857269,PAID,2021-05-06,District Email
13,98,A,2,7854559,Investis Digital India,Active,1/1/2021,1/1/2021,1/1/2021,9/30/2021,7857278,PAID,2021-05-06,District Email
13,98,A,2,7854559,Investis Digital India,Active,1/1/2021,1/1/2021,1/1/2021,9/30/2021,7857211,PAID,2021-05-06,District Email
13,98,A,2,7854559,Investis Digital India,Active,1/1/2021,1/1/2021,1/1/2021,9/30/2021,7857230,PAID,2021-05-06,District Email
13,98,A,2,7854559,Investis Digital India,Active,1/1/2021,1/1/2021,1/1/2021,9/30/2021,7857223,PAID,2021-05-06,District Email
13,98,A,2,7854559,Investis Digital India,Active,1/1/2021,1/1/2021,1/1/2021,9/30/2021,7857272,PAID,2021-05-06,District Email
13,98,A,2,7854559,Investis Digital India,Active,1/1/2021,1/1/2021,1/1/2021,9/30/2021,7854558,PAID,2021-05-06,District Email
13,98,A,2,7854559,Investis Digital India,Active,1/1/2021,1/1/2021,1/1/2021,9/30/2021,7857186,PAID,2021-05-06,District Email
13,98,A,2,7854559,Investis Digital India,Active,1/1/2021,1/1/2021,1/1/2021,9/30/2021,7857213,PAID,2021-05-06,District Email
13,98,A,2,7854559,Investis Digital India,Active,1/1/2021,1/1/2021,1/1/2021,9/30/2021,7857259,PAID,2021-05-06,District Email
13,98,A,2,7854559,Investis Digital India,Active,1/1/2021,1/1/2021,1/1/2021,9/30/2021,7857264,PAID,2021-05-06,District Email
13,98,A,2,7854559,Investis Digital India,Active,1/1/2021,1/1/2021,1/1/2021,9/30/2021,7857220,PAID,2021-05-06,District Email
13,98,A,2,7854559,Investis Digital India,Active,1/1/2021,1/1/2021,1/1/2021,9/30/2021,7857239,PAID,2021-05-06,District Email
13,98,A,2,7854559,Investis Digital India,Active,1/1/2021,1/1/2021,1/1/2021,9/30/2021,7857282,PAID,2021-05-06,District Email
13,98,A,2,7854559,Investis Digital India,Active,1/1/2021,1/1/2021,1/1/2021,9/30/2021,7857275,PAID,2021-05-06,District Email
13,98,A,2,7854559,Investis Digital India,Active,1/1/2021,1/1/2021,1/1/2021,9/30/2021,7857200,PAID,2021-05-06,District Email
13,98,A,2,6090393,Toastmasters Club of Allscripts Vadodara,Active,1/1/2019,1/1/2019,10/1/2020,3/31/2021,7246670,UNPAID,2021-05-06,District Email
13,98,A,2,6090393,Toastmasters Club of Allscripts Vadodara,Active,4/1/2019,4/1/2019,4/1/2021,9/30/2021,7337287,PAID,2021-05-06,District Email
13,98,A,2,6090393,Toastmasters Club of Allscripts Vadodara,Active,8/1/2020,8/1/2020,4/1/2021,9/30/2021,7805076,PAID,2021-05-06,District Email
13,98,A,2,6090393,Toastmasters Club of Allscripts Vadodara,Active,9/1/2020,9/1/2020,10/1/2020,3/31/2021,7814706,UNPAID,2021-05-06,District Email
13,98,A,2,6090393,Toastmasters Club of Allscripts Vadodara,Active,10/1/2018,10/1/2018,4/1/2021,9/30/2021,7142878,PAID,2021-05-06,District Email
13,98,A,2,6090393,Toastmasters Club of Allscripts Vadodara,Active,4/1/2017,4/1/2017,4/1/2021,9/30/2021,6511153,PAID,2021-05-06,District Email
13,98,A,2,6090393,Toastmasters Club of Allscripts Vadodara,Active,9/1/2019,9/1/2019,4/1/2021,9/30/2021,7572867,PAID,2021-05-06,District Email
13,98,A,2,6090393,Toastmasters Club of Allscripts Vadodara,Active,1/1/2019,1/1/2019,4/1/2021,9/30/2021,7259875,PAID,2021-05-06,District Email
13,98,A,2,6090393,Toastmasters Club of Allscripts Vadodara,Active,5/1/2021,5/1/2021,5/1/2021,9/30/2021,7891634,PAID,2021-05-06,District Email
13,98,A,2,6090393,Toastmasters Club of Allscripts Vadodara,Active,4/1/2021,4/1/2021,4/1/2021,9/30/2021,7889732,PAID,2021-05-06,District Email
13,98,A,2,6090393,Toastmasters Club of Allscripts Vadodara,Active,5/1/2021,5/1/2021,5/1/2021,9/30/2021,7890244,PAID,2021-05-06,District Email
13,98,A,2,6090393,Toastmasters Club of Allscripts Vadodara,Active,4/1/2019,4/1/2019,10/1/2020,3/31/2021,7337308,UNPAID,2021-05-06,District Email
13,98,A,2,6090393,Toastmasters Club of Allscripts Vadodara,Active,1/1/2021,1/1/2021,1/1/2021,3/31/2021,7845259,UNPAID,2021-05-06,District Email
13,98,A,2,6090393,Toastmasters Club of Allscripts Vadodara,Active,4/1/2017,4/1/2017,4/1/2021,9/30/2021,6511174,PAID,2021-05-06,District Email
13,98,A,2,6090393,Toastmasters Club of Allscripts Vadodara,Active,12/1/2019,12/1/2019,4/1/2021,9/30/2021,7700000,PAID,2021-05-06,District Email
13,98,A,2,6090393,Toastmasters Club of Allscripts Vadodara,Active,1/1/2021,1/1/2021,4/1/2021,9/30/2021,7848774,PAID,2021-05-06,District Email
13,98,A,2,6090393,Toastmasters Club of Allscripts Vadodara,Active,9/1/2020,9/1/2020,10/1/2020,3/31/2021,7814708,UNPAID,2021-05-06,District Email
13,98,A,2,6090393,Toastmasters Club of Allscripts Vadodara,Active,4/1/2021,4/1/2021,4/1/2021,9/30/2021,7890096,PAID,2021-05-06,District Email
13,98,A,2,6090393,Toastmasters Club of Allscripts Vadodara,Active,4/1/2021,4/1/2021,4/1/2021,9/30/2021,7886783,PAID,2021-05-06,District Email
13,98,A,2,6090393,Toastmasters Club of Allscripts Vadodara,Active,8/1/2020,8/1/2020,10/1/2020,3/31/2021,7803112,UNPAID,2021-05-06,District Email
13,98,A,2,6090393,Toastmasters Club of Allscripts Vadodara,Active,1/1/2019,1/1/2019,10/1/2020,3/31/2021,7259872,UNPAID,2021-05-06,District Email
13,98,A,2,6090393,Toastmasters Club of Allscripts Vadodara,Active,9/1/2018,9/1/2018,4/1/2021,9/30/2021,7109340,PAID,2021-05-06,District Email
13,98,A,2,6090393,Toastmasters Club of Allscripts Vadodara,Active,11/1/2020,11/1/2020,11/1/2020,3/31/2021,7833480,UNPAID,2021-05-06,District Email
13,98,A,2,6090393,Toastmasters Club of Allscripts Vadodara,Active,2/1/2020,2/1/2020,4/1/2021,9/30/2021,7745234,PAID,2021-05-06,District Email
13,98,A,2,6090393,Toastmasters Club of Allscripts Vadodara,Active,1/1/2021,1/1/2021,4/1/2021,9/30/2021,7845273,PAID,2021-05-06,District Email
13,98,A,2,6886272,Toastmasters Club of Baroda (TCB),Active,9/1/2019,9/1/2011,4/1/2021,9/30/2021,2034126,PAID,2021-05-06,District Email
